user_id,lat,lon,radius
83154764,37.9534598,23.7186429,80.0
83154764,37.947546,23.711755,80.0
90730904,41.3499837,2.1074247,80.0
90730904,41.3527431,2.1106128,100.0
90730904,41.3589799,2.0806998,100.0
92914108,56.3972291,61.9389901,80.0
92914108,56.3940961,61.9352079,98.0
92914108,56.3923201,61.9371404,80.0
92914108,56.41411,61.9204279,81.0
92914108,56.3705074,61.9343439,540.0
43744240,31.8071637,34.7701172,69.0
43744240,31.8070891,34.7672103,148.0
43744240,31.8163322,34.7781504,66.0
43744240,31.809624,34.7719843,80.0
43744240,31.8154157,34.7711964,80.0
43744240,31.8180385,34.7761304,210.0
43744240,31.8096235,34.7719796,126.0
34677297,32.1173744,34.7917341,90.0
34677297,32.1199236,34.7916672,89.0
34677297,32.126466,34.802655,85.0
34677297,32.097605,34.780266,85.0
34677297,32.101928,34.825705,85.0
87782293,36.8106558,128.6070745,80.0
87782293,36.8153999,128.616758,80.0
87782293,36.8128661,128.6097222,80.0
87782293,36.8136974,128.6091646,80.0
77223862,51.3734307,6.5970256,80.0
77223862,51.2723501,6.485087,189.0
77223862,51.27235,6.48508,101.0
77223862,52.537351,13.266572,104.0
77223862,51.3508763,6.5963408,101.0
97491273,45.4351252,10.8722199,80.0
97491273,45.3437101,10.8313799,99.0
97491273,45.3539701,10.8423502,99.0
73254368,44.4570909,26.1341265,80.0
73254368,44.4499053,26.1220184,75.0
73254368,44.4482639,26.1229825,78.0
73254368,44.462867,26.1593735,80.0
85669171,55.9498404,37.4909792,80.0
85669171,55.9359151,37.4927431,97.0
85669171,55.94136,37.4897102,98.0
85669171,55.9311572,37.4941083,81.0
85669171,55.9375539,37.5070892,80.0
85807591,58.4723704,41.5470669,80.0
85807591,58.4751747,41.5420187,83.0
85807591,58.4791431,41.5511094,80.0
85807591,58.4831311,41.5603469,80.0
85807591,58.1415015,41.5821918,80.0
83006192,41.7639751,-87.6402597,135.0
83006192,41.7664808,-87.6415207,156.0
83006192,41.803546,-87.590158,85.0
83006192,41.7688273,-87.6413245,80.0
98303407,41.3984301,2.0072536,80.0
98303407,41.3949571,1.9963769,99.0
98303407,41.3996388,2.0062028,80.0
98303407,41.3856328,2.0041617,99.0
86992945,42.876703,74.682954,82.0
86992945,42.84086,74.58035,86.0
97301994,51.5790928,6.726232,80.0
97301994,51.5673913,6.7437371,102.0
90897945,55.7414752,49.1463498,80.0
90897945,55.7431785,49.1437772,95.0
90897945,55.6901271,49.1474099,80.0
79561921,41.2596576,28.0214,80.0
79561921,41.2808829,28.0218922,80.0
97170054,40.9350294,14.25848,80.0
97170054,40.9328501,14.2570859,154.0
97170054,40.9388539,14.269421,100.0
97170054,40.9263442,14.2718635,80.0
97170054,40.9409499,14.2521999,100.0
88074114,51.4195008,7.2885255,80.0
88074114,51.419613,7.2739187,101.0
88074114,51.441988,7.3323,101.0
88074114,51.4403283,7.3345307,80.0
88074114,51.446711,7.328521,101.0
88074114,51.48991,7.23648,101.0
88074114,51.4219787,7.2813466,101.0
88074114,51.4375494,7.3130874,162.0
88074114,51.4429676,7.3107505,219.0
66501785,33.8743847,-118.0959115,354.0
66501785,33.8704868,-118.0905392,260.0
66501785,32.5652534,-96.8461234,95.0
66501785,32.6705487,-96.8283197,560.0
57588544,56.7844557,60.5433121,82.0
57588544,56.7829078,60.5442012,82.0
57588544,56.7817632,60.5474647,82.0
86205071,51.6689359,12.2559276,80.0
86205071,51.6615503,12.2628102,80.0
86205071,51.6641728,12.2573405,80.0
86205071,51.6467431,12.3011876,80.0
86205071,51.6683021,12.2477623,121.0
86205071,51.6698914,12.2430182,80.0
86205071,51.6938311,12.1710759,81.0
57900817,51.3384538,4.7925538,92.0
57900817,51.4021188,4.7679677,95.0
91526957,53.5200853,49.2643643,113.0
91526957,53.5297031,49.174855,98.0
91526957,53.515148,49.2892478,98.0
91526957,53.5127176,49.263498,80.0
64284802,43.4218555,5.0501076,80.0
64284802,43.4177402,5.0431659,87.0
81714920,38.0152357,23.7662229,80.0
81714920,38.0166917,23.7809818,251.0
81714920,38.0149544,23.7850899,80.0
81714920,38.0239108,23.7864813,226.0
81714920,37.2667089,23.1561109,80.0
81714920,37.2590323,23.1663271,128.0
81714920,37.946304,23.6634484,228.0
72092431,57.9747688,52.9942408,50.0
72092431,40.4092525,49.9666501,80.0
44980796,46.0668614,11.1320938,80.0
44980796,46.0860488,11.1819148,349.0
44980796,46.0938358,11.1812154,495.0
44980796,46.1816195,11.0703031,80.0
44980796,46.0977178,11.1687136,187.0
87586561,60.00866,30.4259896,80.0
87586561,60.008455,30.432075,80.0
81777723,55.4516122,86.0882832,80.0
81777723,55.404292,86.1279519,91.0
81777723,55.4066472,86.1479829,80.0
81375471,52.9924024,36.0361054,80.0
59374547,52.4282744,4.9218401,80.0
59374547,52.4108547,4.8869069,104.0
59374547,52.4513574,5.036403,80.0
67469884,26.0608334,-80.366583,80.0
67469884,26.0064047,-80.4101005,143.0
67469884,26.0102988,-80.2554494,77.0
67469884,26.1147773,-80.3310656,284.0
67469884,26.0175791,-80.4260055,80.0
96242327,59.8092163,30.3680597,80.0
88629323,53.3750001,14.6675701,99.0
88629323,53.3808956,14.654711,126.0
69799218,6.4819123,124.8356834,50.0
69799218,6.4715744,124.8392672,80.0
69799218,6.618991,124.7481586,80.0
69799218,6.6859797,124.6808372,80.0
69799218,6.5169623,124.8269123,80.0
69799218,6.6883819,124.678735,262.0
69799218,6.6820344,124.6621841,397.0
69799218,6.620898,124.7490578,80.0
94982569,52.3511167,21.2499277,80.0
94982569,52.3507309,21.241995,80.0
94982569,52.3543147,21.2582687,99.0
94982569,52.356121,21.2574238,80.0
62645101,52.2708509,8.0302203,50.0
62645101,52.2725244,8.0563397,80.0
62645101,52.2659763,8.0251952,80.0
62645101,52.2683447,8.0246547,95.0
62645101,52.2836068,8.0108531,80.0
62645101,52.2632388,8.036902,83.0
62645101,52.2781892,8.0455532,39.0
62645101,52.2699627,8.0236003,79.0
62645101,52.2711603,8.0406373,80.0
62645101,52.2788655,8.0571514,80.0
62645101,53.9559244,10.8804027,88.0
62645101,52.26283,8.0200001,99.0
62645101,52.2731146,8.0426376,80.0
62645101,52.27714,8.0496801,99.0
82103452,54.3589334,48.3570699,80.0
82103452,54.3114151,48.392982,80.0
82103452,54.3075572,48.393212,80.0
98105659,44.4999026,26.1651181,80.0
98105659,44.4469342,26.1428333,80.0
98105659,44.4549303,26.1356181,80.0
